행정구역,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
서울특별시  (1100000000),"459,008","715,905","1,245,417","1,455,919","1,350,737","1,452,383","1,303,402","827,409","366,555","55,415","1,327"
서울특별시 종로구 (1111000000),"5,049","9,104","19,989","19,668","17,915","22,350","20,584","12,469","6,794","1,184",30
서울특별시 중구 (1114000000),"4,933","5,726","15,594","21,108","15,868","17,439","17,568","11,377","5,726",994,19
서울특별시 용산구 (1117000000),"9,796","12,572","26,173","36,864","28,572","31,090","27,583","15,962","8,515","1,561",46
서울특별시 성동구 (1120000000),"15,643","17,073","37,531","48,202","39,240","42,217","38,066","22,265","10,837","1,571",28
서울특별시 광진구 (1121500000),"13,439","22,777","54,480","56,551","45,477","50,481","45,255","26,610","11,711","1,781",39
서울특별시 동대문구 (1123000000),"17,744","22,730","54,926","54,534","47,682","52,058","48,343","31,213","15,032","2,115",49
서울특별시 중랑구 (1126000000),"16,547","23,062","44,779","58,575","50,328","61,207","63,778","38,158","16,340","2,281",54
서울특별시 성북구 (1129000000),"21,344","33,655","62,189","56,623","59,197","69,998","58,029","37,193","18,471","2,764",59
서울특별시 강북구 (1130500000),"9,525","17,767","33,926","34,115","35,764","47,967","47,184","32,366","16,061","2,036",39
서울특별시 도봉구 (1132000000),"11,716","21,115","33,013","36,997","39,248","51,409","52,798","33,247","15,777","2,349",70
서울특별시 노원구 (1135000000),"22,734","43,744","60,463","60,872","68,325","83,159","71,956","44,900","20,608","3,459",83
서울특별시 은평구 (1138000000),"20,276","33,460","55,416","66,486","63,909","76,001","68,391","43,992","21,168","2,950",66
서울특별시 서대문구 (1141000000),"15,105","21,582","44,501","44,761","41,619","47,076","41,291","25,676","13,789","2,130",50
서울특별시 마포구 (1144000000),"18,147","25,628","54,108","64,153","53,934","55,027","42,097","25,340","13,549","2,206",41
서울특별시 양천구 (1147000000),"22,525","46,189","46,311","51,449","68,870","71,289","61,777","37,648","13,950","2,187",62
서울특별시 강서구 (1150000000),"26,503","39,997","70,997","95,833","81,019","80,634","78,294","50,177","19,656","3,252",94
서울특별시 구로구 (1153000000),"19,414","26,861","45,597","61,188","54,209","59,479","57,539","38,782","16,029","2,143",40
서울특별시 금천구 (1154500000),"8,259","11,989","31,368","39,648","27,269","34,657","36,749","21,530","9,127","1,221",23
서울특별시 영등포구 (1156000000),"19,633","22,273","52,310","73,850","51,574","53,067","48,309","30,745","14,290","2,195",49
서울특별시 동작구 (1159000000),"17,262","24,789","59,494","61,302","50,559","55,748","49,401","33,012","15,461","2,265",54
서울특별시 관악구 (1162000000),"13,808","23,506","100,939","93,574","56,968","63,739","59,414","41,270","18,846","2,247",41
서울특별시 서초구 (1165000000),"26,458","45,737","47,768","57,261","70,669","67,374","48,026","32,274","13,535","2,182",62
서울특별시 강남구 (1168000000),"31,839","63,729","62,434","79,541","98,437","86,861","62,427","43,758","16,965","2,696",80
서울특별시 송파구 (1171000000),"39,345","57,138","75,792","105,697","103,499","97,489","86,959","53,427","19,051","3,215",83
서울특별시 강동구 (1174000000),"31,964","43,702","55,319","77,067","80,586","74,567","71,584","44,018","15,267","2,431",66
